,UNI,WBTC,BONDLY,SAITAMA-WETH,XDB,WETH,ETH
2021-10-07,7379.074843315935,25547.17591846382,6346.722530165499,2479.6951448898735,16310.929169263605,6642.462591927374,3961.651942491646
2021-10-08,7167.216654428711,25716.167404337168,6451.03314832576,2347.9130704024633,17221.718170024164,6601.447322612331,3937.189897112387
2021-10-09,7269.658092442786,26016.45189044126,6276.229063032549,2396.9406576765687,18867.13823615477,6602.436598757285,3937.779914399963
2021-10-10,7045.02498760018,26016.99284625509,5648.109584301229,2425.7246507105015,17594.07892783152,6374.384185834644,3801.7664597298726
2021-10-11,6924.0136588898595,27191.56162415296,5692.449046995509,2457.308852398897,17467.94442944763,6489.8347915890445,3870.6227175136364
2021-10-12,6739.236178050978,26675.10930517221,6178.608537014569,2382.241518711188,17923.186064837028,6442.232381551496,3842.232014881494
2021-10-13,7094.672646536816,27339.362206302507,6499.58722883573,2349.13993861713,17924.214048583166,6625.523557227315,3951.5492796923136
2021-10-14,7554.176514692461,27329.18893762891,5761.724312548539,2504.528582157309,17826.41530608714,6962.529082892323,4152.543801965386
2021-10-15,7485.424942452541,29185.845354706573,6008.351983984849,2634.5435374263097,17645.99823368114,7102.984164748219,4236.313057744632
2021-10-16,7754.409745154464,28838.745001829295,6128.777556012919,3030.5111895041405,18374.290699958594,7048.34710596119,4203.726798194036
2021-10-17,7458.765944373902,29076.03926221404,6105.8961853027095,3292.9917567547186,18024.791405581,7041.389986655444,4199.577480854221
2021-10-18,7336.513758999492,29420.954217430488,5604.059071010469,3082.2532591933787,17107.680856258685,6892.192219660533,4110.593972817739
2021-10-19,7513.795556958931,30429.002952073864,5650.444703152619,3364.7244893969873,17311.990843232423,7135.343744651997,4255.612736261423
2021-10-20,7772.277632849763,31252.17265810986,0.0,3985.539890087543,18916.574591267465,7607.120772240616,4516.593203358751
2021-10-21,7527.081726795145,29671.21853755517,0.0,4128.390608248867,18726.66869510786,7515.271073570359,4462.059071830504
2021-10-22,7376.9750276644945,28788.18760199147,0.0,4926.038260812895,17781.46668798318,7315.838436409426,4343.649476334668
2021-10-23,7713.943746472057,29109.244202006063,0.0,5255.934418612467,17958.054949196114,7593.247938246576,4508.356453922953
2021-10-24,7469.705738015422,28963.657702628516,0.0,5173.3827286445085,16685.51544209241,7518.866202404259,4464.193615890281
2021-10-25,7477.531630851285,29786.411669801906,0.0,6239.250903315091,15773.466735654303,7765.556503090359,4610.6616119656455
2021-10-26,7477.531630851285,29033.92930704985,0.0,6131.481716510598,16975.313050028097,7573.393879099378,4496.56845800595
2021-10-27,7055.854188392359,27844.870636741347,0.0,6007.290542516728,15828.930353185706,7326.213649122152,4349.809575092755
2021-10-28,7124.186655437187,28909.529548636383,0.0,6610.843019644293,16346.65092539582,7852.335092727696,4662.18486233697
2021-10-29,7340.622834744625,29702.763736660047,0.0,6768.620777837811,16955.227993391385,8142.858274893815,4834.677855320328
2021-10-30,7132.579900394963,29240.570952912185,0.0,6700.695637145831,16188.594702246077,7901.581726155533,4691.424178562911
2021-10-31,7239.366410658039,29173.861467988598,0.0,6801.190598575264,20816.984729325315,7936.175933843352,4711.9638765638365
2021-11-01,7384.286989095801,29045.730045638575,0.0,7218.852132991378,20239.26498862119,7967.781108770578,4730.728889311915
2021-11-02,7509.260972897288,29891.60579810702,0.0,7736.327995183218,22149.581929776235,8389.924782245038,4981.369217438854
2021-11-03,7657.383254220531,29789.66791131161,0.0,7864.691464219863,20483.183826639903,8464.336917772709,5025.550104746195
2021-11-04,7348.685309013164,28945.262263752193,0.0,7478.296868076193,21026.898597501102,8233.449500228231,4888.464790598449
