,current_price,open_quantity,market_value,average_price,book_value,closed_quantity,realized_profits,unrealized_profits,pct_profits
UNI,25.552586830486504,0.0,0.0,21.42289124947462,0.0,570.0901644258122,1020.3038774951992,0.0,0.0
WBTC,61251.42387387762,0.0,0.0,47504.238238213315,0.0,1.00810356,3469.324792169303,0.0,0.0
WETH-DOGEGF,0.008721996379197358,267854.84328487644,2336.2289732811682,0.006297111482775473,1686.7118093662193,803564.5298546293,-182.5927013590208,649.5171639149489,0.3850789211934222
eXRD,0.16067191131737363,2.015e-14,3.2375390130450788e-15,0.11862956528622676,0.0,38676.8535425048,-0.16651768886731588,3.2375390130450788e-15,0.0
SAITAMA,8.456433869291955e-08,80100597416.01018,6773.654049392681,8.410617289809615e-09,671.1939769979292,783171678630.4609,5796.169670234462,6102.460072394752,9.091947010146637
BONDLY,0.06479535601557407,99999.99999999999,6479.535601557406,0.05600486678142581,5600.486678142581,425652.4912900606,-2253.550466423105,879.0489234148254,0.15695938119905764
SAITAMA-WETH,2148.2488524740943,0.0,0.0,480.44508293500803,0.0,3.5124036248102817,284.2529264134432,0.0,0.0
USDC,1.0,545.413955,545.413955,1.0,545.413955,20200.0,0.0,0.0,0.0
XDB,0.7112961660906488,0.0,0.0,0.6033884149761259,0.0,30000.0,-4797.30273400445,0.0,0.0
WETH,4479.128719880019,0.3344788681726478,1498.1739046250698,,,4.742436454496364,724.5580648821432,,
COTI,0.5726195607604415,432.286157684749,247.53550973625994,0.4924008587622687,212.8580752750122,23100.087917933346,82.01295035442627,34.67743446124774,0.16291340799001666
DOGEGF,2.5668916150985564e-09,799999999999.9999,2053.5132920788446,1.8235669999494159e-09,1458.8535999595324,1972853905454.5786,365.7374549696199,594.6596921193122,0.40762122541686685
ETH,4479.128719880019,0.4524300932484589,2026.4926244071673,4141.228766044775,1873.6165167848376,93.39478391586005,-4465.151893870955,152.87610762232976,0.08159412892274676
