,UNI,WBTC,WETH-DOGEGF,eXRD,SAITAMA,BONDLY,SAITAMA-WETH,USDC,XDB,WETH,COTI,DOGEGF,ETH
2021-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98313.39267331945
2021-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96461.93474538904
2021-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85468.4770066784
2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106953.51744987525
2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112133.08830249979
2021-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117358.70156763005
2021-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114059.78372197691
2021-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98663.02476812199
2021-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93705.59973901801
2021-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99861.78453169474
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109841.60691915575
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106935.14357480638
2021-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111381.61214952031
2021-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117579.9300629999
2021-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112841.32221214216
2021-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106632.48430085869
2021-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111271.18140839948
2021-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108524.25346285944
2021-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104390.03927763563
2021-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107821.43838895293
2021-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103055.67954577046
2021-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97961.34452660914
2021-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98550.46437399779
2021-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101561.91392912503
2021-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103513.30387533143
2021-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103176.76743084687
2021-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96595.00092999311
2021-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95042.90806510583
2021-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89282.29012725741
2021-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87896.55611386114
2021-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91076.01380824283
2021-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75569.36387753532
2021-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76297.80583756183
2021-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78656.71403428797
2021-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80029.25869704329
2021-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72919.41927545446
2021-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72245.00009659256
2021-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78845.42042675527
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84588.95500044274
2021-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87995.58121306107
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91077.08263692618
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86136.41638297701
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86880.84491046732
2021-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88949.06435672616
2021-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.7600874815206,0.0,0.0,0.0,0.0,890.8860032774083
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2979159215465,0.0,0.0,0.0,0.0,859.6692179704966
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5072239526509,0.0,0.0,0.0,0.0,887.9994755229234
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.214962459624,0.0,0.0,0.0,0.0,895.0234597355404
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.3348582679731,0.0,0.0,0.0,0.0,809.1860838884392
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4580607474543,0.0,0.0,0.0,0.0,831.1355505750419
2021-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.3456543857027,0.0,0.0,0.0,0.0,812.4050614496546
2021-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5529363840136,0.0,0.0,0.0,0.0,828.3707650532858
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0733058718773,0.0,0.0,0.0,0.0,783.3631066245474
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2593745711098,0.0,0.0,0.0,0.0,743.0714411037073
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5773894445771,0.0,0.0,0.0,0.0,770.6051230787341
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.8168507140707,0.0,0.0,0.0,0.0,739.9227999594307
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2719798610512,0.0,0.0,0.0,0.0,723.4293520206455
2021-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.165010008329,0.0,0.0,0.0,0.0,731.5186448875146
2021-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4894327073913,0.0,0.0,0.0,0.0,726.1029206994347
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4111247577124,0.0,0.0,0.0,0.0,700.8261516020998
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2224588919333,0.0,0.0,0.0,0.0,680.938150037117
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1278502145746,0.0,0.0,0.0,0.0,760.9019573075013
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1749244480043,0.0,0.0,0.0,0.0,772.0860538118483
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.585310420584,0.0,0.0,0.0,0.0,804.4096544447801
2021-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1208978945396,0.0,0.0,0.0,0.0,833.0849319280261
2021-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2439901265052,0.0,0.0,0.0,0.0,831.4854046912208
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1816625841927,0.0,0.0,0.0,0.0,862.5569352406118
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.6937287630508,0.0,0.0,0.0,0.0,885.2873319403604
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1560734721509,0.0,0.0,0.0,0.0,880.930494400369
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4285456477679,0.0,0.0,0.0,0.0,896.2754781319302
