,WETH-USDT,WBTC,DAI,USDC,DAI-WETH,USDC-WETH,WBTC-WETH,EQX,USDT,ETH
2021-08-13,0.0,122.62828404423725,1.9345600432613403,1.2803522326094143,1917.0079756383648,1921.2212910516591,0.0,0.0,355.9131781577055,727.6530720725304
2021-08-14,0.0,120.61458664281336,1.9372181788632719,1.2784573631040883,1908.7417312633563,1910.2056816657707,0.0,0.0,356.06028980872344,719.9835120867298
2021-08-15,0.0,121.42808714149983,1.9393312749179101,1.2794029101006956,1921.9865002758095,1923.3106801845342,0.0,0.0,355.97630624982304,728.9354889574388
2021-08-16,70.8193493786568,0.009707909597601946,0.016625204034189794,0.0,2079.2279324567,189.01073106496293,23.611581598638004,0.0,0.0,1114.0823723543235
2021-08-17,69.26122016380371,0.00943707057219541,0.016612787819422627,0.0,2031.7631089949843,184.79942429424796,22.751511319475757,512.7009866240387,0.0,1063.92608691219
2021-08-18,69.15288899407633,0.00940649373218727,0.01661377959196297,0.0,2028.5086792515046,184.4685993491947,22.67010974638083,558.4909429849322,0.0,1059.613695563434
2021-08-19,70.7157568611041,0.009787894191647625,0.016620431101873827,0.0,2073.6794900727623,188.58162958830926,23.629887241188303,3911.9818370678395,0.0,1106.2427951821835
2021-08-20,71.85814638929897,0.010309838761137375,0.016595615219506664,0.0,2104.6873526603536,191.69912568967368,24.629305134966774,5027.887736477143,0.0,32132.93902160385
2021-08-21,4643.947181667126,80.20718956904717,635.3439492404495,636.1061523363509,14276.189701524208,12376.176107186831,1554.1523134661795,4728.606660598261,239.0025906087696,1398.454347196616
2021-08-22,4619.524210889355,80.25512292703664,635.9058481248354,636.1302761974949,14205.82609752046,12311.929732993412,1546.0889671545447,4273.772477937765,238.90101091207657,1383.0430804176162
2021-08-23,5565.886604796722,1.5083174701684678,0.00253212566872236,7.908170153455054,16754.235737074676,14827.635015388732,1862.339125673592,0.0,0.1920065334881794,1802.1539820100375
2021-08-24,5468.031972654187,1.4694082801212753,0.0025322104044620546,7.896090776028826,16441.71336593701,14544.851915058498,1803.5073828736522,0.0,0.19209399849441305,5584.203437342818
2021-08-25,5475.289682254093,1.485104208861913,0.0025295372720587493,7.891671072736641,16467.52477592606,14573.334720974259,1816.2835363983809,0.0,0.19174115672809416,5603.292595514622
2021-08-26,5408.413460061309,1.4359531483758485,0.002532375837531574,7.895482533702649,16254.59644219582,14383.668657334274,1761.340617172308,0.0,0.19212087677706438,5449.278420646035
2021-08-27,5524.881906923579,1.4892868154569423,0.0025338743009154494,7.905671315303318,16610.58886388857,14706.448571502326,1832.2497913963127,0.0,0.19195621201496899,5881.021514898572
2021-08-28,5500.293196624654,1.4832043430563036,0.002531979000744761,7.912941566377095,16530.673844449306,14651.388164510174,1820.2721439583881,0.0,0.1918627502833042,6474.96413088129
2021-08-29,5513.453171942076,1.4959274484878813,0.002532490334006125,7.8962415727708,16557.808038302082,14661.626416678266,1830.6699300336195,0.0,0.19210438259133564,6492.98466130351
2021-08-30,5548.659478855455,1.4472190768514153,0.002528417510495517,7.904889013780467,16649.13511946809,14765.48932023845,1811.7895121248541,0.0,0.19201010366449953,6572.776026102289
2021-08-31,5648.888217901894,1.4300187993410098,0.0025349327135971824,7.905627823411358,16967.751290739143,15034.083537695782,1832.7709407676173,0.0,38889.22853263411,5921.185731515369
2021-09-01,12490.232597242699,3.9432255066293003,0.0,0.0,35287.638694358706,33252.29182554418,4156.955792880437,0.0,0.0,2773.2411537317857
2021-09-02,12570.858151028093,4.049324755621037,0.0,0.0,35494.39308464793,33474.116442474646,4236.715024357075,0.0,0.0,2804.721114072697
2021-09-03,12690.965403854128,4.0464329739688045,0.0,0.0,35837.57613182294,33830.665562979135,4277.423007425931,0.0,0.0,2860.4875358104337
2021-09-04,12707.440283292102,4.084314477719601,0.0,0.0,35881.86710160307,33865.90659687992,4300.426817675497,0.0,0.0,2864.0524577901388
2021-09-05,12809.503516021377,4.218108066302009,0.0,0.0,36151.30546498301,34121.48427479215,4399.912009521209,0.0,0.0,6845.030834133402
2021-09-06,12805.806778609927,4.287011921932015,0.0,0.0,36153.20890972094,34155.59661797985,4439.565171413681,0.0,99840.74624781811,6856.250289830355
2021-09-07,27580.845801618972,0.0,53.34153573890824,0.0,75352.95865675157,73439.55373265166,8805.412963431143,0.0,3.572597873337961,3695.9226345358506
2021-09-08,28040.827641357067,0.0,53.2729165630359,0.0,76515.06257566602,74678.92530792144,8913.528596318598,0.0,3.5730781209967946,3811.136634148016
2021-09-09,27654.42983253147,0.0,53.31616519770902,0.0,75497.06399809413,73696.3360702143,8766.718256872146,0.0,3.570186173720916,3705.0106386496745
2021-09-10,26516.16150602184,0.0,53.350953138338056,0.0,72385.55517995327,70630.95689406573,8207.704077523327,0.0,3.5694084418087058,3400.9736882727225
2021-09-11,26940.136577684483,0.0,53.3025796330925,0.0,73420.7222231004,71698.503849351,8397.624906768518,0.0,3.5759406571818415,3500.649505717884
